,qasm,best_size,size_out,num_swaps,size_diff,size
128,rd73_140,257.0,256,26,-1.0,230
18,4gt4-v0_79,254.0,256,25,2.0,231
79,hwb4_49,271.0,274,41,3.0,233
17,4gt4-v0_78,257.0,262,27,5.0,235
97,mod10_171,278.0,283,39,5.0,244
8,4gt12-v0_87,265.0,269,22,4.0,247
7,4gt12-v0_86,268.0,276,25,8.0,251
15,4gt4-v0_72,278.0,281,23,3.0,258
142,sym6_316,309.0,315,45,6.0,270
20,4gt4-v1_74,308.0,299,26,-9.0,273
127,rd53_311,313.0,315,40,2.0,275
93,mini-alu_167,337.0,341,53,4.0,288
105,one-two-three-v0_97,332.0,340,50,8.0,290
124,rd53_135,335.0,341,45,6.0,296
78,ham7_104,352.0,357,37,5.0,320
143,sym9_146,368.0,380,52,12.0,328
63,decod24-enable_126,369.0,379,41,10.0,338
104,mod8-10_178,368.0,369,27,1.0,342
130,rd84_142,399.0,405,62,6.0,343
16,4gt4-v0_73,438.0,443,48,5.0,395
72,ex3_229,437.0,438,35,1.0,403
103,mod8-10_177,484.0,497,57,13.0,440
43,alu-v2_31,521.0,533,82,12.0,451
34,C17_204,500.0,506,39,6.0,467
122,rd53_131,519.0,523,54,4.0,469
86,ising_model_10,486.0,486,6,0.0,480
56,cnt3-5_180,554.0,558,73,4.0,485
42,alu-v2_30,566.0,558,54,-8.0,504
116,qft_16,576.0,607,95,31.0,512
99,mod5adder_127,606.0,620,65,14.0,555
123,rd53_133,636.0,643,63,7.0,580
90,majority_239,678.0,680,68,2.0,612
71,ex2_227,708.0,711,80,3.0,631
87,ising_model_13,641.0,640,7,-1.0,633
53,cm82a_208,719.0,725,75,6.0,650
135,sf_276,822.0,847,69,25.0,778
134,sf_274,808.0,817,36,9.0,781
88,ising_model_16,799.0,799,13,0.0,786
58,con1_216,1042.0,1093,139,51.0,954
157,wim_266,1104.0,1120,134,16.0,986
121,rd53_130,1183.0,1207,164,24.0,1043
73,f2_232,1364.0,1375,169,11.0,1206
51,cm152a_212,1362.0,1404,183,42.0,1221
126,rd53_251,1454.0,1499,208,45.0,1291
80,hwb5_53,1512.0,1542,206,30.0,1336
52,cm42a_207,1963.0,2042,266,79.0,1776
112,pm1_249,1958.0,2024,248,66.0,1776
60,dc1_220,2076.0,2192,278,116.0,1914
138,squar5_261,2165.0,2322,329,157.0,1993
137,sqrt8_260,3380.0,3616,607,236.0,3009
159,z4_268,3384.0,3615,542,231.0,3073
117,radd_250,3596.0,3825,612,229.0,3213
35,adr4_197,3825.0,4076,637,251.0,3439
141,sym6_145,4317.0,4571,683,254.0,3888
95,misex1_241,5273.0,5663,850,390.0,4813
129,rd73_252,6005.0,6268,947,263.0,5321
59,cycle10_2_110,6793.0,7296,1246,503.0,6050
81,hwb6_56,7617.0,8036,1313,419.0,6723
139,square_root_7,8362.0,9159,1529,797.0,7630
76,ham15_107,9780.0,10409,1646,629.0,8763
61,dc2_222,10579.0,11319,1857,740.0,9462
136,sqn_258,11463.0,12093,1870,630.0,10223
85,inc_237,11659.0,12722,2103,1063.0,10619
54,cm85a_209,12772.0,13896,2482,1124.0,11414
131,rd84_253,15659.0,16655,2997,996.0,13658
132,root_255,19426.0,20970,3811,1544.0,17159
57,co14_215,20319.0,22377,4441,2058.0,17936
96,mlp4_245,21301.0,22999,4147,1698.0,18852
150,urf2_277,23397.0,25275,5163,1878.0,20112
144,sym9_148,23584.0,24901,3397,1317.0,21504
89,life_238,25659.0,27026,4581,1367.0,22445
82,hwb7_59,27679.0,29611,5232,1932.0,24379
91,max46_240,30933.0,32351,5225,1418.0,27126
