qasm,arch,seed,timeout,depth,swaps
4mod5-v0_19,ibmq_tokyo.arch,5,60,24,5
4mod5-v0_19,ibmq_tokyo.arch,6,60,24,5
4mod5-v0_19,ibmq_tokyo.arch,7,60,24,5
4mod5-v0_19,ibmq_tokyo.arch,8,60,24,5
4mod5-v0_19,ibmq_tokyo.arch,9,60,23,5
4mod5-v0_19,ibmq_tokyo.arch,10,60,24,5
4mod5-v0_19,ibmq_tokyo.arch,3,60,24,5
3_17_13,ibmq_tokyo.arch,1,60,29,7
3_17_13,ibmq_tokyo.arch,3,60,29,7
3_17_13,ibmq_tokyo.arch,2,60,29,7
3_17_13,ibmq_tokyo.arch,4,60,28,7
3_17_13,ibmq_tokyo.arch,5,60,29,7
3_17_13,ibmq_tokyo.arch,7,60,29,7
3_17_13,ibmq_tokyo.arch,6,60,29,7
3_17_13,ibmq_tokyo.arch,8,60,28,7
3_17_13,ibmq_tokyo.arch,9,60,30,7
3_17_13,ibmq_tokyo.arch,10,60,28,7
rd32-v1_68,ibmq_tokyo.arch,1,60,29,8
rd32-v1_68,ibmq_tokyo.arch,3,60,28,8
rd32-v1_68,ibmq_tokyo.arch,4,60,29,8
rd32-v1_68,ibmq_tokyo.arch,5,60,28,8
rd32-v1_68,ibmq_tokyo.arch,2,60,29,8
rd32-v1_68,ibmq_tokyo.arch,6,60,28,8
rd32-v1_68,ibmq_tokyo.arch,7,60,29,8
rd32-v1_68,ibmq_tokyo.arch,10,60,29,8
rd32-v1_68,ibmq_tokyo.arch,8,60,27,8
rd32-v1_68,ibmq_tokyo.arch,9,60,28,8
4mod5-v1_24,ibmq_tokyo.arch,3,60,25,7
4mod5-v1_24,ibmq_tokyo.arch,1,60,24,7
4mod5-v1_24,ibmq_tokyo.arch,2,60,27,7
4mod5-v1_24,ibmq_tokyo.arch,4,60,25,7
4mod5-v1_24,ibmq_tokyo.arch,5,60,26,7
4mod5-v1_24,ibmq_tokyo.arch,6,60,25,7
4mod5-v1_24,ibmq_tokyo.arch,8,60,24,7
4mod5-v1_24,ibmq_tokyo.arch,9,60,27,7
4mod5-v1_24,ibmq_tokyo.arch,7,60,26,7
4mod5-v1_24,ibmq_tokyo.arch,10,60,25,7
alu-v0_27,ibmq_tokyo.arch,1,60,26,8
alu-v0_27,ibmq_tokyo.arch,3,60,25,8
alu-v0_27,ibmq_tokyo.arch,4,60,26,8
alu-v0_27,ibmq_tokyo.arch,5,60,26,8
alu-v0_27,ibmq_tokyo.arch,6,60,27,8
alu-v0_27,ibmq_tokyo.arch,2,60,26,8
alu-v0_27,ibmq_tokyo.arch,7,60,27,8
alu-v0_27,ibmq_tokyo.arch,8,60,26,8
alu-v0_27,ibmq_tokyo.arch,9,60,27,8
alu-v0_27,ibmq_tokyo.arch,10,60,25,8
